month,day,Solar_per,Eolica_per,Hidraulica_per,Carbon_per,Gas_Natural_per,Geotermica_per,Biomasa_per,Demand_per
1,1,0.16500908769692946,0.07712191891030384,0.17561855191530848,-0.0027105162768223355,-0.2714170770367053,-0.003966911426121605,-0.055626844532274546,0.02399854878279144
1,2,0.16236243302028852,0.07857444454408649,0.17439883387368837,-0.007313433254985601,-0.26038993157402834,0.0024805120659346985,-0.058786331568373575,0.02343454630431909
1,3,0.15950969677625423,0.07923618969300077,0.17306339872919968,-0.012141328014597337,-0.24854807754529487,0.009062849717509328,-0.06123693098401388,0.022850433502733983
1,4,0.15646694900775174,0.07904308479020516,0.171592198595427,-0.017131316491910263,-0.2359017408658935,0.015649542644274105,-0.06296088783755767,0.02226437370878837
1,5,0.15325297319334252,0.07794860797308882,0.16996512987012052,-0.022215846609836176,-0.22247954640815434,0.022105143368225284,-0.06396372179177072,0.0216936148265048
1,6,0.14988901535872387,0.07592513967216921,0.16816209449120298,-0.0273240972045301,-0.2083287279462674,0.028292736097530472,-0.06427302146285728,0.021153937798239635
1,7,0.14639843020664942,0.07296482199340824,0.16616312254376392,-0.03238355378321973,-0.19351467801019417,0.034077565303869135,-0.06393663428587115,0.020659152777688213
1,8,0.14280647398972365,0.06908012218117003,0.16394869815521335,-0.03732137106141733,-0.17812087481581887,0.0393303881464633,-0.06302034985625189,0.020220691476140463
1,9,0.1391396408794892,0.06430354350647294,0.16149993111042604,-0.04206635677999681,-0.1622466026027655,0.04393144852385097,-0.06160507262611546,0.019847224088404017
1,10,0.13542535965566624,0.058687166597781906,0.15879902636385515,-0.04655035827195305,-0.14600591698667983,0.0477736311323853,-0.05978365175205196,0.019544426393582455
1,11,0.13169145723479944,0.05230154530367194,0.15582969850494222,-0.05070988972958816,-0.1295253344363263,0.050765721948735625,-0.05765742208631052,0.019314817025060067
1,12,0.12796563959737867,0.04523416472725953,0.15257764927297293,-0.05448760321685753,-0.11294130577239296,0.05283527165251057,-0.055332569244619274,0.019157705129813473
1,13,0.1242749198599685,0.03758737758726455,0.14903102519810177,-0.05783365736375294,-0.09639717270066403,0.05393105500788294,-0.052916398110789346,0.019069243164133675
1,14,0.1206452611317712,0.029476410338191116,0.14518108836128016,-0.060706724406986885,-0.08004082086553463,0.054024999037043255,-0.05051378269793927,0.019042587535550003
1,15,0.11710080728154794,0.02102615176712922,0.14102245543670552,-0.06307517140210807,-0.06402023315273418,0.05311367941839177,-0.048223480587506196,0.019068148845584727
1,16,0.11366356950193478,0.012368565925374752,0.1365537035350574,-0.06491761236633026,-0.04848085951608578,0.051219080823250385,-0.04613497799014253,0.01913394375497875
1,17,0.11035293860720993,0.00363948865437763,0.13177771554233486,-0.06622340567873908,-0.03356201121745672,0.04838880648597624,-0.0443255379154659,0.01922602051785907
1,18,0.10718525647032041,-0.0050246930022754535,0.12670192394273716,-0.06699284586920085,-0.01939336010058059,0.04469557150573571,-0.04285768754069458,0.0193289536528496
1,19,0.10417363077115643,-0.013489882354520318,0.12133875522266797,-0.06723704385753855,-0.006092403915168137,0.0402362718283684,-0.04177728133233938,0.0194263836125568
1,20,0.1013274567809774,-0.02162805578248688,0.11570537020801103,-0.06697761460869414,0.006239455442930761,0.03512997556575145,-0.04111195047875976,0.019501602898164917
1,21,0.09865238724499291,-0.029319893685838802,0.10982386327697774,-0.0662460037467809,0.017518857264654294,0.02951572689985474,-0.04087031999694969,0.019538145869727522
1,22,0.09615020173988227,-0.03645769261991069,0.10372103999679493,-0.06508261812721171,0.027682863591373397,0.023549589746889407,-0.04104174862146015,0.019520381894923396
1,23,0.09381880252026693,-0.04294788084667059,0.09742811479212829,-0.0635357179180903,0.036690710703288686,0.01740123104967284,-0.04159670624134294,0.019434086037416188
1,24,0.09165227658956032,-0.048713235421978446,0.09098019687646448,-0.06166008836046544,0.04452513041868939,0.011250011040016947,-0.042487767783531055,0.019266967954924177
1,25,0.08964116958055621,-0.05369436249200709,0.08441602036963758,-0.05951566367035067,0.05119268515933201,0.00528109387730525,-0.04365112243141717,0.019009155636823486
1,26,0.08777259724341521,-0.057851376218160694,0.07777680430333356,-0.05716580653934409,0.05672441573714999,-0.00031939463222603257,-0.04500871541820987,0.018653587500067403
1,27,0.08603068959788791,-0.0611644072737536,0.07110574985399859,-0.05467572299266163,0.06117497892072702,-0.005368625334231436,-0.04647074929666633,0.01819633782137098
1,28,0.08439697968047799,-0.06363394578629913,0.06444707671901588,-0.05211073903064919,0.06462167223936309,-0.009691706182090466,-0.047938615069705016,0.01763683867731073
1,29,0.08285088109728309,-0.06528059484194478,0.05784506448539641,-0.049534608554968794,0.06716279464134324,-0.013126163240380807,-0.04930810975346521,0.01697800008061208
1,30,0.08137019995593377,-0.06614431913427707,0.05134297503171166,-0.047007849532389755,0.06891549115854723,-0.015526243990408209,-0.0504728636561717,0.016226212902254292
1,31,0.07993176946864812,-0.06628316816746758,0.04498233109547171,-0.04458632615256462,0.07001302630463846,-0.01676679365255848,-0.05132779900077532,0.01539128733494008
2,1,0.07851193842971765,-0.06577163424135857,0.03880145311603237,-0.04231968020851242,0.07060182673775804,-0.016746991330364204,-0.05177271203854521,0.014486195301289815
2,2,0.07708723990913396,-0.06469849465480322,0.03283478909777107,-0.04025023605241016,0.07083796788341581,-0.015393291632719349,-0.051715598276059455,0.013526796194851434
2,3,0.07563496707493546,-0.06316436520525066,0.02711193294511153,-0.038411968648059194,0.07088350858924196,-0.012661942463317363,-0.05107583134672396,0.012531425912934992
